ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00689,Forever Sunshine,Shoulder Angel,Brown,Joker Suit,Gritted Teeth,Calm Purple,Flame,3D Glasses No1,Pink Neon Horns,Gold Hoop,767.2,"{""721"":{""ergoat-00689"":{""index"":00689,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""Shoulder Angel"",""body"":""Brown"",""clothes"":""Joker Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Purple"",""wield"":""Flame"",""accessory"":""3D Glasses No1"",""head"":""Pink Neon Horns"",""earring"":""Gold Hoop""}}}"
00690,Lilac,None,Brown,Ronin Black,Snake,Crazy Blue,White Wine,Green Energy,Ronin Hat,Ergo Chain,893.7,"{""721"":{""ergoat-00690"":{""index"":00690,""generation"":1,""background"":""Lilac"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Ronin Black"",""mouth"":""Snake"",""eyes"":""Crazy Blue"",""wield"":""White Wine"",""accessory"":""Green Energy"",""head"":""Ronin Hat"",""earring"":""Ergo Chain""}}}"
00691,Mustard,None,Red,Dark Santa,Sharp,Crazy Blue,Cupcake,Face Cuts,Ram Horns,Safety Pin,837.6,"{""721"":{""ergoat-00691"":{""index"":00691,""generation"":1,""background"":""Mustard"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Dark Santa"",""mouth"":""Sharp"",""eyes"":""Crazy Blue"",""wield"":""Cupcake"",""accessory"":""Face Cuts"",""head"":""Ram Horns"",""earring"":""Safety Pin""}}}"
00692,Crime Scene,Devil Tail,Pink,Black ERGoat Shirt,Gritted Teeth,Angry Purple,Cocktail,Evil Face Tattoo,Red Beanie,Ergo Chain,847.5,"{""721"":{""ergoat-00692"":{""index"":00692,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""Devil Tail"",""body"":""Pink"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Purple"",""wield"":""Cocktail"",""accessory"":""Evil Face Tattoo"",""head"":""Red Beanie"",""earring"":""Ergo Chain""}}}"
00693,Sunshine,None,Blue,Ripped Suit,Smirk,Assassin Green,Cigarette,Evil Face Tattoo,Ram Horns,Hanafudu No1,907.8,"{""721"":{""ergoat-00693"":{""index"":00693,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Ripped Suit"",""mouth"":""Smirk"",""eyes"":""Assassin Green"",""wield"":""Cigarette"",""accessory"":""Evil Face Tattoo"",""head"":""Ram Horns"",""earring"":""Hanafudu No1""}}}"
00694,Monochrome,None,Pink,Purple Hawaiian Shirt,Flopped,Stoned,Katana,Mustache,Headband,Sapphire Stud,831.3,"{""721"":{""ergoat-00694"":{""index"":00694,""generation"":1,""background"":""Monochrome"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Flopped"",""eyes"":""Stoned"",""wield"":""Katana"",""accessory"":""Mustache"",""head"":""Headband"",""earring"":""Sapphire Stud""}}}"
00695,Watermelon,None,Brown,Holiday Suit,Snake,Stoned,Dragon Ball,Evil Face Tattoo,Dark Ronin Hat,Spikes,779.9,"{""721"":{""ergoat-00695"":{""index"":00695,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Holiday Suit"",""mouth"":""Snake"",""eyes"":""Stoned"",""wield"":""Dragon Ball"",""accessory"":""Evil Face Tattoo"",""head"":""Dark Ronin Hat"",""earring"":""Spikes""}}}"
00696,Skinny Dip,None,Orange,Baphomet,Gritted Teeth,Angry Red,Necronomicon,Silver Chain Necklace,Blue Flame,Rainbow Disco Ball,888.6,"{""721"":{""ergoat-00696"":{""index"":00696,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Baphomet"",""mouth"":""Gritted Teeth"",""eyes"":""Angry Red"",""wield"":""Necronomicon"",""accessory"":""Silver Chain Necklace"",""head"":""Blue Flame"",""earring"":""Rainbow Disco Ball""}}}"
00697,Hazy Eve,None,Blue,Bulls Jersey,Flopped,Assassin Gray,Basketball,Nose Scar,Santa Hat,Off White Tag,790.1,"{""721"":{""ergoat-00697"":{""index"":00697,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Bulls Jersey"",""mouth"":""Flopped"",""eyes"":""Assassin Gray"",""wield"":""Basketball"",""accessory"":""Nose Scar"",""head"":""Santa Hat"",""earring"":""Off White Tag""}}}"
00698,Forever Sunshine,None,Pink,Negan Jacket,Flopped,Assassin Gray,Tie Dye Wine,Face Cuts,Dark Ronin Hat,Gold Hoop,815.8,"{""721"":{""ergoat-00698"":{""index"":00698,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Negan Jacket"",""mouth"":""Flopped"",""eyes"":""Assassin Gray"",""wield"":""Tie Dye Wine"",""accessory"":""Face Cuts"",""head"":""Dark Ronin Hat"",""earring"":""Gold Hoop""}}}"
00699,Inverse Day,None,Orange,Lab Coat No1,Flopped,Crazy Yellow,Cupcake,3D Glasses No2,Halo,Disco Ball,822.2,"{""721"":{""ergoat-00699"":{""index"":00699,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Lab Coat No1"",""mouth"":""Flopped"",""eyes"":""Crazy Yellow"",""wield"":""Cupcake"",""accessory"":""3D Glasses No2"",""head"":""Halo"",""earring"":""Disco Ball""}}}"
00700,Crime Scene,None,Yellow,Black ERGoat Shirt,Screaming,Crazy Blue,Christmas Mug,Nose Scar,Flame,Spikes,910.5,"{""721"":{""ergoat-00700"":{""index"":00700,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Screaming"",""eyes"":""Crazy Blue"",""wield"":""Christmas Mug"",""accessory"":""Nose Scar"",""head"":""Flame"",""earring"":""Spikes""}}}"
00701,Lilac,None,Yellow,Blue Ninja Armor,Grin,Crazy Yellow,White Wine,Blue Energy,Royal Guard Hat,Safety Pin,830.2,"{""721"":{""ergoat-00701"":{""index"":00701,""generation"":1,""background"":""Lilac"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Blue Ninja Armor"",""mouth"":""Grin"",""eyes"":""Crazy Yellow"",""wield"":""White Wine"",""accessory"":""Blue Energy"",""head"":""Royal Guard Hat"",""earring"":""Safety Pin""}}}"
00702,Skinny Dip,None,Purple,Ronin White,Sharp,Angry Red,Cupcake,Red Collar,Snowy Tophat,None,971.2,"{""721"":{""ergoat-00702"":{""index"":00702,""generation"":1,""background"":""Skinny Dip"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Ronin White"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Cupcake"",""accessory"":""Red Collar"",""head"":""Snowy Tophat"",""earring"":""None""}}}"
00703,Hex Orange,None,Green,Saiyan Armor,Sharp,Crazy Blue,Coconut,Green Scouter,Afro,Gold Hoop,731.1,"{""721"":{""ergoat-00703"":{""index"":00703,""generation"":1,""background"":""Hex Orange"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""Saiyan Armor"",""mouth"":""Sharp"",""eyes"":""Crazy Blue"",""wield"":""Coconut"",""accessory"":""Green Scouter"",""head"":""Afro"",""earring"":""Gold Hoop""}}}"
00704,Bloodshot,Bow and Arrows,Orange,Pink Suit,Gritted Teeth,Crazy Yellow,Wolverine,Reading Glasses,Red Beanie,Sapphire Stud,836.9,"{""721"":{""ergoat-00704"":{""index"":00704,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Bow and Arrows"",""body"":""Orange"",""clothes"":""Pink Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Yellow"",""wield"":""Wolverine"",""accessory"":""Reading Glasses"",""head"":""Red Beanie"",""earring"":""Sapphire Stud""}}}"
00705,Summer,None,Teal,Santa,Snake,Crazy Yellow,Candy Cane,Mustache,Afro Samurai,Snow Globe,680.3,"{""721"":{""ergoat-00705"":{""index"":00705,""generation"":1,""background"":""Summer"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Santa"",""mouth"":""Snake"",""eyes"":""Crazy Yellow"",""wield"":""Candy Cane"",""accessory"":""Mustache"",""head"":""Afro Samurai"",""earring"":""Snow Globe""}}}"
00706,Crime Scene,Green Parrot,Orange,Black ERGoat Shirt,Missing Tooth,Assassin Green,Spiked Bat,Rudolph,Xmas Lights,None,787.7,"{""721"":{""ergoat-00706"":{""index"":00706,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""Green Parrot"",""body"":""Orange"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Green"",""wield"":""Spiked Bat"",""accessory"":""Rudolph"",""head"":""Xmas Lights"",""earring"":""None""}}}"
00707,Dark Pit,Devil Tail,Teal,White ERGoat Shirt,Snake,Crazy Yellow,Dragon Ball,Red Collar,Ronin Hat,Diamond Stud,740.5,"{""721"":{""ergoat-00707"":{""index"":00707,""generation"":1,""background"":""Dark Pit"",""back_accessory"":""Devil Tail"",""body"":""Teal"",""clothes"":""White ERGoat Shirt"",""mouth"":""Snake"",""eyes"":""Crazy Yellow"",""wield"":""Dragon Ball"",""accessory"":""Red Collar"",""head"":""Ronin Hat"",""earring"":""Diamond Stud""}}}"
00708,Monochrome,Blue Parrot,Orange,Lab Coat No1,Grin,Angry Red,Spirit Gun,3D Glasses No1,Super Blonde,None,818.7,"{""721"":{""ergoat-00708"":{""index"":00708,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Blue Parrot"",""body"":""Orange"",""clothes"":""Lab Coat No1"",""mouth"":""Grin"",""eyes"":""Angry Red"",""wield"":""Spirit Gun"",""accessory"":""3D Glasses No1"",""head"":""Super Blonde"",""earring"":""None""}}}"
00709,Hazy Eve,None,Orange,White ERGoat Shirt,Missing Tooth,Calm Purple,White Wine,3D Glasses No1,Santa Hat,Gold Hoop,896.5,"{""721"":{""ergoat-00709"":{""index"":00709,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""White ERGoat Shirt"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""White Wine"",""accessory"":""3D Glasses No1"",""head"":""Santa Hat"",""earring"":""Gold Hoop""}}}"
00710,Gum,Angel Wings,Gray,Tat Blasted,Missing Tooth,Stoned,Wolverine,Silver Chain Necklace,Flame,None,863.6,"{""721"":{""ergoat-00710"":{""index"":00710,""generation"":1,""background"":""Gum"",""back_accessory"":""Angel Wings"",""body"":""Gray"",""clothes"":""Tat Blasted"",""mouth"":""Missing Tooth"",""eyes"":""Stoned"",""wield"":""Wolverine"",""accessory"":""Silver Chain Necklace"",""head"":""Flame"",""earring"":""None""}}}"
00711,Opening Scene,Red Parrot,Pink,Purple Hawaiian Shirt,Pierced Tongue,Stoned,Necronomicon,3D Glasses No2,Cowboy Hat,Silver Hoop,638.5,"{""721"":{""ergoat-00711"":{""index"":00711,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""Red Parrot"",""body"":""Pink"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Pierced Tongue"",""eyes"":""Stoned"",""wield"":""Necronomicon"",""accessory"":""3D Glasses No2"",""head"":""Cowboy Hat"",""earring"":""Silver Hoop""}}}"
00712,Inverse Day,Demon Wings,Brown,Holiday Suit,Flopped,Assassin Gray,White Wine,Bronze Medal,Headband,Ergo Chain,762.5,"{""721"":{""ergoat-00712"":{""index"":00712,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""Demon Wings"",""body"":""Brown"",""clothes"":""Holiday Suit"",""mouth"":""Flopped"",""eyes"":""Assassin Gray"",""wield"":""White Wine"",""accessory"":""Bronze Medal"",""head"":""Headband"",""earring"":""Ergo Chain""}}}"
00713,Seattle Proper,Green Parrot,Teal,Lab Coat No1,Screaming,Calm Teal,Spirit Gun,Nose Scar,Rambo,None,881.4,"{""721"":{""ergoat-00713"":{""index"":00713,""generation"":1,""background"":""Seattle Proper"",""back_accessory"":""Green Parrot"",""body"":""Teal"",""clothes"":""Lab Coat No1"",""mouth"":""Screaming"",""eyes"":""Calm Teal"",""wield"":""Spirit Gun"",""accessory"":""Nose Scar"",""head"":""Rambo"",""earring"":""None""}}}"
00714,Good Morning,None,Purple,Blue Ninja Armor,Gold Tooth,Angry Purple,Wolverine,Blue Energy,Green Neon Horns,Hanafudu No2,747.2,"{""721"":{""ergoat-00714"":{""index"":00714,""generation"":1,""background"":""Good Morning"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Blue Ninja Armor"",""mouth"":""Gold Tooth"",""eyes"":""Angry Purple"",""wield"":""Wolverine"",""accessory"":""Blue Energy"",""head"":""Green Neon Horns"",""earring"":""Hanafudu No2""}}}"
00715,Watermelon Stripe,None,Purple,Dark Santa,Flopped,Crazy Yellow,Christmas Mug,Reading Glasses,Green Neon Horns,Diamond Stud,841.6,"{""721"":{""ergoat-00715"":{""index"":00715,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Dark Santa"",""mouth"":""Flopped"",""eyes"":""Crazy Yellow"",""wield"":""Christmas Mug"",""accessory"":""Reading Glasses"",""head"":""Green Neon Horns"",""earring"":""Diamond Stud""}}}"
00716,Rojo,Blue Parrot,Gray,Ripped Suit,Tongue Tied,Calm Purple,Basketball,Silver Chain Necklace,Green Neon Horns,Pentagram,785.3,"{""721"":{""ergoat-00716"":{""index"":00716,""generation"":1,""background"":""Rojo"",""back_accessory"":""Blue Parrot"",""body"":""Gray"",""clothes"":""Ripped Suit"",""mouth"":""Tongue Tied"",""eyes"":""Calm Purple"",""wield"":""Basketball"",""accessory"":""Silver Chain Necklace"",""head"":""Green Neon Horns"",""earring"":""Pentagram""}}}"
00717,Monochrome,None,Gray,Santa,Tongue Tied,Assassin Gray,Coconut,Red Energy,Flame,Spikes,769.3,"{""721"":{""ergoat-00717"":{""index"":00717,""generation"":1,""background"":""Monochrome"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Santa"",""mouth"":""Tongue Tied"",""eyes"":""Assassin Gray"",""wield"":""Coconut"",""accessory"":""Red Energy"",""head"":""Flame"",""earring"":""Spikes""}}}"
00718,Clover Field,None,Yellow,Green Hawaiian Shirt,Smirk,Crazy Yellow,Spirit Gun,Green Energy,Red Beanie,Spikes,841.2,"{""721"":{""ergoat-00718"":{""index"":00718,""generation"":1,""background"":""Clover Field"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Smirk"",""eyes"":""Crazy Yellow"",""wield"":""Spirit Gun"",""accessory"":""Green Energy"",""head"":""Red Beanie"",""earring"":""Spikes""}}}"
00719,Crime Scene,None,Blue,Tat Blasted,Missing Tooth,Crazy Blue,Coconut,Nose Scar,Green Neon Horns,None,931.4,"{""721"":{""ergoat-00719"":{""index"":00719,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Tat Blasted"",""mouth"":""Missing Tooth"",""eyes"":""Crazy Blue"",""wield"":""Coconut"",""accessory"":""Nose Scar"",""head"":""Green Neon Horns"",""earring"":""None""}}}"
00720,Skyism,None,Red,Tat Blasted,Snake,Angry Red,Spiked Bat,Green Energy,Super Blonde,Safety Pin,768.4,"{""721"":{""ergoat-00720"":{""index"":00720,""generation"":1,""background"":""Skyism"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Tat Blasted"",""mouth"":""Snake"",""eyes"":""Angry Red"",""wield"":""Spiked Bat"",""accessory"":""Green Energy"",""head"":""Super Blonde"",""earring"":""Safety Pin""}}}"
00721,Cherry Blossom,Bow and Arrows,Teal,Ronin Black,Sharp,Assassin Gray,Katana,Blue Energy,Blue Flame,None,776.4,"{""721"":{""ergoat-00721"":{""index"":00721,""generation"":1,""background"":""Cherry Blossom"",""back_accessory"":""Bow and Arrows"",""body"":""Teal"",""clothes"":""Ronin Black"",""mouth"":""Sharp"",""eyes"":""Assassin Gray"",""wield"":""Katana"",""accessory"":""Blue Energy"",""head"":""Blue Flame"",""earring"":""None""}}}"
00722,Skyism,None,Gray,Holiday Suit,Flopped,Crazy Blue,Coconut,Silver Chain Necklace,Super Blue,None,940.9,"{""721"":{""ergoat-00722"":{""index"":00722,""generation"":1,""background"":""Skyism"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Holiday Suit"",""mouth"":""Flopped"",""eyes"":""Crazy Blue"",""wield"":""Coconut"",""accessory"":""Silver Chain Necklace"",""head"":""Super Blue"",""earring"":""None""}}}"
00723,Movie Foam,Angel Wings,Blue,White Suit,Grin,Calm Teal,Cupcake,Gold Chain Necklace,Dark Ronin Hat,None,876.2,"{""721"":{""ergoat-00723"":{""index"":00723,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""Angel Wings"",""body"":""Blue"",""clothes"":""White Suit"",""mouth"":""Grin"",""eyes"":""Calm Teal"",""wield"":""Cupcake"",""accessory"":""Gold Chain Necklace"",""head"":""Dark Ronin Hat"",""earring"":""None""}}}"
00724,Lilac,None,Red,Blue Ninja Armor,Flopped,Angry Purple,Cupcake,Nose Scar,Horns,Diamond Stud,866.2,"{""721"":{""ergoat-00724"":{""index"":00724,""generation"":1,""background"":""Lilac"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Blue Ninja Armor"",""mouth"":""Flopped"",""eyes"":""Angry Purple"",""wield"":""Cupcake"",""accessory"":""Nose Scar"",""head"":""Horns"",""earring"":""Diamond Stud""}}}"
00725,Sun Belt,None,Blue,Santa Sweater,Tongue Tied,Crazy Blue,Tie Dye Wine,Red Energy,Orange Afro,Rainbow Disco Ball,793.2,"{""721"":{""ergoat-00725"":{""index"":00725,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Santa Sweater"",""mouth"":""Tongue Tied"",""eyes"":""Crazy Blue"",""wield"":""Tie Dye Wine"",""accessory"":""Red Energy"",""head"":""Orange Afro"",""earring"":""Rainbow Disco Ball""}}}"
00726,Inverse Day,None,Red,Negan Jacket,Gold Tooth,Crazy Blue,Basketball,Red Collar,Headband,Safety Pin,851.8,"{""721"":{""ergoat-00726"":{""index"":00726,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Negan Jacket"",""mouth"":""Gold Tooth"",""eyes"":""Crazy Blue"",""wield"":""Basketball"",""accessory"":""Red Collar"",""head"":""Headband"",""earring"":""Safety Pin""}}}"
00727,Dark Woods,Children,Fat and Hairy,None,Evil Smile,Madness,Birch Sticks,Chains,Darkest Horns,None,,"{""721"":{""ergoat-00727"":{""index"":00727,""generation"":1,""background"":""Dark Woods"",""back_accessory"":""Children"",""body"":""Fat and Hairy"",""clothes"":""None"",""mouth"":""Evil Smile"",""eyes"":""Madness"",""wield"":""Birch Sticks"",""accessory"":""Chains"",""head"":""Darkest Horns"",""earring"":""None""}}}"
00728,Cloud Light,None,Orange,Ripped Suit,Missing Tooth,Assassin Green,Red Wine,3D Glasses No2,Ram Horns,Spikes,828.8,"{""721"":{""ergoat-00728"":{""index"":00728,""generation"":1,""background"":""Cloud Light"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""Ripped Suit"",""mouth"":""Missing Tooth"",""eyes"":""Assassin Green"",""wield"":""Red Wine"",""accessory"":""3D Glasses No2"",""head"":""Ram Horns"",""earring"":""Spikes""}}}"
00729,Forever Sunshine,Bag of Toys,Red,Holiday Suit,Gritted Teeth,Stoned,Candy Cane,Silver Chain Necklace,Purple Beanie,Disco Ball,769.8,"{""721"":{""ergoat-00729"":{""index"":00729,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""Bag of Toys"",""body"":""Red"",""clothes"":""Holiday Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Stoned"",""wield"":""Candy Cane"",""accessory"":""Silver Chain Necklace"",""head"":""Purple Beanie"",""earring"":""Disco Ball""}}}"
00730,Pinot Noir Film,Red Parrot,Pink,Goku Gi,Screaming,Calm Teal,Cigarette,Blue Energy,Royal Guard Hat,Rainbow Disco Ball,715.3,"{""721"":{""ergoat-00730"":{""index"":00730,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Red Parrot"",""body"":""Pink"",""clothes"":""Goku Gi"",""mouth"":""Screaming"",""eyes"":""Calm Teal"",""wield"":""Cigarette"",""accessory"":""Blue Energy"",""head"":""Royal Guard Hat"",""earring"":""Rainbow Disco Ball""}}}"
00731,Hazy Eve,None,Blue,Purple Hawaiian Shirt,Gold Tooth,Kawaii,Wolverine,Red Collar,Red Beanie,Diamond Stud,810.3,"{""721"":{""ergoat-00731"":{""index"":00731,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Kawaii"",""wield"":""Wolverine"",""accessory"":""Red Collar"",""head"":""Red Beanie"",""earring"":""Diamond Stud""}}}"
00732,Pinot Noir Film,Shoulder Angel,Gray,Goku Gi,Snake,Stoned,Katana,Rudolph,Green Beanie,Ruby Stud,672.6,"{""721"":{""ergoat-00732"":{""index"":00732,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Shoulder Angel"",""body"":""Gray"",""clothes"":""Goku Gi"",""mouth"":""Snake"",""eyes"":""Stoned"",""wield"":""Katana"",""accessory"":""Rudolph"",""head"":""Green Beanie"",""earring"":""Ruby Stud""}}}"
00733,Bloodshot,None,Pink,White Suit,Snake,Calm Teal,White Wine,Silver Chain Necklace,Headband,Sapphire Stud,934,"{""721"":{""ergoat-00733"":{""index"":00733,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""White Suit"",""mouth"":""Snake"",""eyes"":""Calm Teal"",""wield"":""White Wine"",""accessory"":""Silver Chain Necklace"",""head"":""Headband"",""earring"":""Sapphire Stud""}}}"
00734,Sun Belt,None,Pink,Blue Ninja Armor,Pierced Tongue,Angry Red,White Wine,Red Collar,Headband,Gold Hoop,848.2,"{""721"":{""ergoat-00734"":{""index"":00734,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Blue Ninja Armor"",""mouth"":""Pierced Tongue"",""eyes"":""Angry Red"",""wield"":""White Wine"",""accessory"":""Red Collar"",""head"":""Headband"",""earring"":""Gold Hoop""}}}"
00735,Cloud Light,None,Red,Tat Blasted,Smirk,Calm Purple,White Wine,Silver Medal,Rambo,Hanafudu No2,749.4,"{""721"":{""ergoat-00735"":{""index"":00735,""generation"":1,""background"":""Cloud Light"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Tat Blasted"",""mouth"":""Smirk"",""eyes"":""Calm Purple"",""wield"":""White Wine"",""accessory"":""Silver Medal"",""head"":""Rambo"",""earring"":""Hanafudu No2""}}}"
00736,Inverse Day,None,Yellow,Purple Hawaiian Shirt,Missing Tooth,Calm Purple,Wolverine,3D Glasses No1,Super Blue,Hanafudu No1,795.3,"{""721"":{""ergoat-00736"":{""index"":00736,""generation"":1,""background"":""Inverse Day"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Wolverine"",""accessory"":""3D Glasses No1"",""head"":""Super Blue"",""earring"":""Hanafudu No1""}}}"
00737,Bloodshot,Rainbow Angel Wings,Blue,Lab Coat No1,Gritted Teeth,Calm Teal,Wolverine,Face Cuts,War Helmet,Pentagram,789.5,"{""721"":{""ergoat-00737"":{""index"":00737,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Rainbow Angel Wings"",""body"":""Blue"",""clothes"":""Lab Coat No1"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Teal"",""wield"":""Wolverine"",""accessory"":""Face Cuts"",""head"":""War Helmet"",""earring"":""Pentagram""}}}"
00738,Rojo,None,Blue,Lab Coat No2,Gritted Teeth,Assassin Green,Snowball,3D Glasses No2,Headband,Hanafudu No2,844.1,"{""721"":{""ergoat-00738"":{""index"":00738,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Lab Coat No2"",""mouth"":""Gritted Teeth"",""eyes"":""Assassin Green"",""wield"":""Snowball"",""accessory"":""3D Glasses No2"",""head"":""Headband"",""earring"":""Hanafudu No2""}}}"
00739,Forever Sunshine,Dark Angel Wings,Teal,Green Hawaiian Shirt,Smirk,Angry Purple,Cocktail,Reading Glasses,Afro,Snowman,794.2,"{""721"":{""ergoat-00739"":{""index"":00739,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""Dark Angel Wings"",""body"":""Teal"",""clothes"":""Green Hawaiian Shirt"",""mouth"":""Smirk"",""eyes"":""Angry Purple"",""wield"":""Cocktail"",""accessory"":""Reading Glasses"",""head"":""Afro"",""earring"":""Snowman""}}}"
00740,Monochrome,None,Gray,Ripped Suit,Screaming,Crazy Blue,Tie Dye Wine,Green Energy,Cowboy Hat,None,991.8,"{""721"":{""ergoat-00740"":{""index"":00740,""generation"":1,""background"":""Monochrome"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Ripped Suit"",""mouth"":""Screaming"",""eyes"":""Crazy Blue"",""wield"":""Tie Dye Wine"",""accessory"":""Green Energy"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00741,Watermelon Stripe,Monkey Tail,Blue,Black ERGoat Shirt,Gold Tooth,Angry Purple,Red Wine,Reading Glasses,Cowboy Hat,Present,865.4,"{""721"":{""ergoat-00741"":{""index"":00741,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""Monkey Tail"",""body"":""Blue"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Angry Purple"",""wield"":""Red Wine"",""accessory"":""Reading Glasses"",""head"":""Cowboy Hat"",""earring"":""Present""}}}"
00742,Cheap Red,Demon Wings,Gray,Joker Suit,Pierced Tongue,Calm Purple,Spirit Gun,Green Energy,Rambo,None,828.3,"{""721"":{""ergoat-00742"":{""index"":00742,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""Demon Wings"",""body"":""Gray"",""clothes"":""Joker Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Calm Purple"",""wield"":""Spirit Gun"",""accessory"":""Green Energy"",""head"":""Rambo"",""earring"":""None""}}}"
00743,Airline Scarf,Red Katana,Yellow,Black Suit,Missing Tooth,Shoujo,Red Wine,Nose Scar,Clown Afro,Ergo Chain,691.2,"{""721"":{""ergoat-00743"":{""index"":00743,""generation"":1,""background"":""Airline Scarf"",""back_accessory"":""Red Katana"",""body"":""Yellow"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Shoujo"",""wield"":""Red Wine"",""accessory"":""Nose Scar"",""head"":""Clown Afro"",""earring"":""Ergo Chain""}}}"
00744,Sun Belt,None,Purple,Saiyan Armor,Grin,Calm Teal,Tie Dye Wine,Red Energy,Green Beanie,Sapphire Stud,843.1,"{""721"":{""ergoat-00744"":{""index"":00744,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Saiyan Armor"",""mouth"":""Grin"",""eyes"":""Calm Teal"",""wield"":""Tie Dye Wine"",""accessory"":""Red Energy"",""head"":""Green Beanie"",""earring"":""Sapphire Stud""}}}"
